=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.06.05 13:52:30 =~=~=~=~=~=~=~=~=~=~=~=
[INFO: Main      ] Starting Contiki-NG-70237d3-dirty
[INFO: Main      ] - Routing: nullrouting
[INFO: Main      ] - Net: nullnet
[INFO: Main      ] - MAC: CSMA
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 Default channel: 17
[INFO: Main      ] Node ID: 40267
[INFO: Main      ] Link-layer address: 0012.4b00.18e6.9d4b
[INFO: Zoul      ] Zolertia Firefly platform
de23,1,1505,377,33346772,36653,129719585,70004775,220414,220413
de23,2,1282,378,204768,1541,130114078,129719611,614902,614901
de23,3,1283,379,39704,293,130189085,130114104,690166,690165
de23,4,1284,380,35256,260,130255645,130189111,755957,755957
9dc8,5,2,2,44696512,37443,59947317,30359,757383,757382
de23,6,1285,381,6640,49,130268188,130255671,768246,768246
9dc8,7,3,3,10320,54,59961141,59947343,771941,771940
de23,8,1286,382,176960,1308,130603034,130268215,1103350,1103349
9dc8,9,4,4,251544,1317,60298293,59961167,1108581,1108580
de23,10,1287,383,21488,159,130643737,130603060,1143798,1143797
9dc8,11,5,5,30736,161,60339508,60298319,1149797,1149796
de23,12,1288,384,51824,384,130742041,130643764,1243125,1243125
9dc8,13,6,6,71784,376,60435764,60339535,1246053,1246052
de23,14,1289,385,121076,897,130971671,130742067,1471504,1471504
de23,15,1290,386,70324,521,131105046,130971697,1605876,1605876
9dc8,16,7,7,272100,1425,60800564,60435791,1611109,1611108
de23,17,1291,387,10548,78,131125013,131105072,1626357,1626356
9dc8,18,8,8,15464,81,60821300,60800590,1632869,1632868
de23,19,1292,388,7948,59,131140117,131125040,1639952,1639951
9dc8,20,9,9,10128,53,60834868,60821326,1644928,1644927
de23,21,1293,389,8636,64,131156501,131140144,1656336,1656335
9dc8,22,10,10,10304,54,60848692,60834894,1658752,1658751
de23,23,1294,390,117128,867,131378451,131156527,1879797,1879796
9dc8,24,11,11,164068,860,61068852,60848718,1880164,1880164
de23,25,1295,391,24860,184,131425555,131378478,1925620,1925620
9dc8,26,12,12,35856,188,61116980,61068878,1928548,1928548
de23,27,1296,392,65800,487,131550226,131425581,2051060,2051060
9dc8,28,13,13,92360,484,61240883,61117006,2051684,2051684
de23,29,1297,393,9448,70,131568146,131550252,2068468,2068468
9dc8,30,14,14,15428,81,61261619,61240910,2072164,2072164
de23,31,1298,394,110224,817,131777296,131568172,2277620,2277619
9dc8,32,15,15,153772,806,61467955,61261646,2279268,2279268
de23,33,1299,395,11316,84,131798800,131777322,2299124,2299123
9dc8,34,16,16,20580,108,61495603,61467982,2306660,2306660
de23,35,1300,396,130508,967,132046350,131798826,2546932,2546931
de23,36,1301,397,952,7,132048142,132046376,2549491,2549490
9dc8,37,17,17,184604,968,61743411,61495629,2554212,2554212
9dc8,38,18,18,4948,26,61750067,61743437,2561635,2561635
de23,39,1302,398,14828,110,132076302,132048168,2577652,2577651
9dc8,40,19,19,15444,81,61770803,61750093,2581092,2581092
de23,41,1303,399,10784,80,132096781,132076328,2596622,2596622
9dc8,42,20,20,15440,81,61791539,61770829,2603108,2603108
de23,43,1304,400,37632,279,132168205,132096808,2668787,2668787
9dc8,44,21,21,51244,269,61860403,61791565,2670692,2670692
de23,45,1305,401,71304,529,132303628,132168231,2803699,2803699
9dc8,46,22,22,102364,537,61997875,61860429,2810468,2810467
de23,47,1306,402,42872,318,132385035,132303654,2886131,2886131
9dc8,48,23,23,61648,323,62080562,61997901,2891620,2891619
de23,49,1307,403,23212,172,132429067,132385061,2928910,2928909
9dc8,50,24,24,30700,161,62121778,62080589,2932580,2932579
de23,51,1308,404,76252,565,132573705,132429093,3075059,3075058
9dc8,52,25,25,107508,564,62266162,62121805,3076964,3076963
de23,53,1309,405,58472,433,132684553,132573732,3184398,3184397
9dc8,54,26,26,82240,431,62376498,62266189,3187556,3187555
de23,55,1310,406,13064,97,132709384,132684579,3210483,3210482
9dc8,56,27,27,20396,107,62403890,62376524,3214948,3214947
de23,57,1311,407,41980,311,132789000,132709411,3290354,3290354
9dc8,58,28,28,56428,296,62479666,62403916,3291236,3291235
de23,59,1312,408,13624,101,132814856,132789026,3315442,3315442
9dc8,60,29,29,20420,107,62507058,62479692,3318116,3318115
de23,61,1313,409,41288,306,132893191,132814882,3394290,3394290
9dc8,62,30,30,61500,323,62589746,62507084,3400292,3400291
de23,63,1314,410,202060,1498,133276676,132893217,3777266,3777265
9dc8,64,31,31,281692,1478,62968113,62589772,3778175,3778174
de23,65,1315,411,4728,35,133285636,133276702,3785714,3785713
9dc8,66,32,32,10316,54,62981937,62968140,3791999,3791998
de23,67,1316,412,144320,1070,133559553,133285662,4059889,4059889
de23,68,1317,413,9984,74,133578497,133559580,4079601,4079600
de23,69,1318,414,112104,831,133791487,133578523,4291339,4291339
9dc8,70,33,33,373832,1962,63484209,62981964,4294270,4294270
de23,71,1319,415,15428,114,133820671,133791514,4322033,4322032
9dc8,72,34,34,20556,108,63511857,63484235,4323427,4323427
de23,73,1320,416,3368,25,133827071,133820697,4327409,4327408
9dc8,74,35,35,5148,27,63518769,63511883,4329315,4329315
de23,75,1321,417,23348,173,133871359,133827097,4371697,4371696
9dc8,76,36,36,35828,188,63566897,63518795,4378467,4378467
de23,77,1322,418,53684,398,133973246,133871385,4477169,4477168
9dc8,78,37,37,76760,403,63670065,63566923,4481379,4481379
de23,79,1323,419,31752,235,134033405,133973272,4534769,4534768
9dc8,80,38,38,40956,215,63725105,63670091,4536675,4536675
de23,81,1324,420,97080,720,134217724,134033432,4718320,4718320
9dc8,82,39,39,138356,726,63910960,63725131,4721022,4721022
de23,83,1325,421,124592,923,134454010,134217750,4954096,4954095
9dc8,84,40,40,173980,914,64144944,63910987,4956259,4956258
de23,85,1326,422,88748,658,134622457,134454036,5123056,5123055
9dc8,86,41,41,128112,672,64316976,64144970,5127267,5127266
de23,87,1327,423,29540,219,134678520,134622483,5178608,5178607
9dc8,88,42,42,40964,215,64372016,64317002,5183331,5183330
